,순위,곡명,가수명
0,1,사랑에 연습이 있었다면 (Prod. 2soo),임재현
1,2,그때가 좋았어,케이시 (Kassy)
2,3,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
3,4,넘쳐흘러,엠씨더맥스 (M.C the MAX)
4,5,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
5,6,너를 만나,폴킴
6,7,사계 (Four Seasons),태연 (TAEYEON)
7,8,주저하는 연인들을 위해,잔나비
8,9,니 소식,송하예
9,10,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
10,11,벌써 12시,청하
11,12,술이 문제야,"장혜진, 윤민수(바이브)"
12,13,옥탑방 (Rooftop),엔플라잉 (N.Flying)
13,14,달라달라,ITZY (있지)
14,15,노래방에서,장범준
15,16,이 노래가 클럽에서 나온다면,우디 (Woody)
16,17,포장마차,황인욱
17,18,"나만, 봄",볼빨간사춘기
18,19,사계 (하루살이),엠씨더맥스 (M.C the MAX)
19,20,안녕,폴킴
20,21,180도,벤
21,22,너에게 못했던 내 마지막 말은,다비치
22,23,신용재,하은
23,24,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
24,25,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
25,26,솔직하게 말해서 나,김나영
26,27,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN)
27,28,FANCY,TWICE (트와이스)
28,29,헤어져줘서 고마워,벤
29,30,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
30,31,시든 꽃에 물을 주듯,HYNN (박혜원)
31,32,초록빛,폴킴
32,33,기억해줘요 내 모든 날과 그때를,거미
33,34,그대라는 시,태연 (TAEYEON)
34,35,Way Back Home,숀 (SHAUN)
35,36,봄날,방탄소년단
36,37,IDOL,방탄소년단
37,38,멍청이(twit),화사 (Hwa Sa)
38,39,신청곡 (Feat. SUGA of BTS),이소라
39,40,띵 (Prod. By 기리보이),"Jvcki Wai, 양홍원, Osshun Gum, 한요한"
40,41,너도 그냥 날 놓아주면 돼,윤건
41,42,당신과는 천천히,장범준
42,43,Kill This Love,BLACKPINK
43,44,이별하러 가는 길,임한별
44,45,SOLO,제니 (JENNIE)
45,46,비,폴킴
46,47,내 생에 아름다운,케이윌
47,48,YES or YES,TWICE (트와이스)
48,49,Love Shot,EXO
49,50,Goodbye,박효신
50,51,별 보러 갈래?,볼빨간사춘기
51,52,그건 아마 우리의 잘못은 아닐 거야,백예린 (Yerin Baek)
52,53,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH)
53,54,아낙네,MINO (송민호)
54,55,조금 취했어 (Prod. 2soo),임재현
55,56,워커홀릭,볼빨간사춘기
56,57,Snapping,청하
57,58,삐삐,아이유
58,59,고백,양다일
59,60,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은"
60,61,MILLIONS,WINNER
61,62,사랑이란 멜로는 없어,전상근
62,63,지나오다,닐로(Nilo)
63,64,흔한 이별,허각
64,65,인사,멜로망스
65,66,고고베베 (gogobebe),마마무 (Mamamoo)
66,67,가을 타나 봐,바이브
67,68,가을밤 떠난 너,케이시 (Kassy)
68,69,봄 (feat. 산다라박),박봄 (Park Bom)
69,70,열애중,벤
70,71,소우주 (Mikrokosmos),방탄소년단
71,72,밤편지,아이유
72,73,진심이 담긴 노래 (True Song),케이시 (Kassy)
73,74,너는 어땠을까,노을
74,75,나의 어깨에 기대어요,10CM
75,76,내 맘을 볼 수 있나요,헤이즈 (Heize)
76,77,Love poem,아이유
77,78,Tempo,EXO
78,79,헤어지자 (Prod. 정키),휘인 (Whee In)
79,80,늦은 밤 너의 집 앞 골목길에서,노을
80,81,Dance The Night Away,TWICE (트와이스)
81,82,하루도 그대를 사랑하지 않은 적이 없었다,임창정
82,83,새 사랑,송하예
83,84,내 목소리 들리니,벤
84,85,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피 (Loopy)"
85,86,Done For Me,펀치 (Punch)
86,87,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이
87,88,아름답고도 아프구나,비투비
88,89,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이
89,90,Make It Right,방탄소년단
90,91,We don't talk together (Feat. 기리보이) (Prod. SUGA),헤이즈 (Heize)
91,92,있어줘요,장덕철
92,93,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
93,94,그러나,10CM
94,95,AH YEAH (아예),WINNER
95,96,Blueming,아이유
96,97,"인기 (Feat. 송가인, 챈슬러)",MC몽
97,98,ICY,ITZY (있지)
98,99,눈 (Prod. 기리보이),"Lil tachi, 호치키스 (김호진)"
99,100,오늘 밤에,홍진영
